"NamespacePrefix","NamespaceFile","VersionURI","VersionReleaseNumber","NamespaceStyle","NamespaceIsExternallyGenerated","IsConformant","Definition"
"addr","",,"1.0","N",1,0,"Draft ANSI Address Data Content Standard schema. See http://www.ansi.org/"
"ansi_d20","ansi_d20","http://niem.gov/niem/ansi_d20/2.0","2.0","E",0,1,"Motor vehicle administration codes from ANSI D20, the Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators."
"ansi-nist","ansi-nist","http://niem.gov/niem/ansi-nist/2.0","2.0","E",0,1,"ANSI/NIST Fingerprint and Biometric standard."
"apco","apco","http://niem.gov/niem/apco/2.0","2.0","E",0,1,"Association of Public-Safety Communications Officials (APCO) - International, Inc."
"atf","atf","http://niem.gov/niem/atf/2.0","2.0","E",0,1,"Bureau of Alcohol, Tobacco, and Firearms"
"can","post-canada","http://niem.gov/niem/post-canada/2.0","2.0","E",0,1,"Province codes for Canada."
"cap","",,"1.0","N",1,0,"Common Alerting Protocol (CAP) is a simple but general format for exchanging effective warning messages based on best practices identified in academic research and real-world experience."
"census","census","http://niem.gov/niem/census/2.0","2.0","E",0,1,"Employment codes from the U.S. Census Bureau."
"context","",,"1.0","N",1,0,"Adaptation of OGC Web Map Context schema to work with current versions of other schemas. See http://www.opengeospatial.org for documentation, http://schemas.opengis.net/context/ for schemas."
"de",,,"1.0","N",1,0,"This Distribution Element specification describes a standard message distribution framework for data sharing among emergency information systems using the XML-based Emergency Data Exchange Language (EDXL). This format may be used over any data transmission system, including but not limited to the SOAP HTTP binding."
"dea","dea","http://niem.gov/niem/dea/2.0","2.0","E",0,1,"Drug Enforcement Administration"
"dod_jcs-pub2.0","dod_jcs-pub2.0-misc","http://niem.gov/niem/dod_jcs-pub2.0-misc/2.0","2.0","E",0,1,"Intelligence discipline codes from the U.S. Department of Defense (DoD) Joint Publication 2.01."
"edxl","edxl","http://niem.gov/niem/edxl/2.0","2.0","E",0,1,"Emergency Data Exchange Language"
"edxl-cap","edxl-cap","http://niem.gov/niem/edxl-cap/2.0","2.0","A",0,1,"Common Alerting Protocol"
"edxl-de","edxl-de","http://niem.gov/niem/edxl-de/2.0","2.0","A",0,1,"Distribution Element"
"em","emergencyManagement","http://niem.gov/niem/domains/emergencyManagement/2.0","2.0","D",0,1,"Emergency Management"
"ex","",,"1.0","N",1,0,"ISO 10303:part(28):version(2) schema used by IFC.  See http://www.iai-international.org and http://www.iai-na.com/ for documentation and schemas."
"fbi","fbi","http://niem.gov/niem/fbi/2.0","2.0","E",0,1,"FBI code lists for National Crime and Information Center (NCIC-2000), National Incident-Based Reporting System (NIBRS), and National Law Enforcement Data Exchange (N-DEx)."
"fips_10-4","fips_10-4","http://niem.gov/niem/fips_10-4/2.0","2.0","E",0,1,"Countries, dependencies, areas of special sovereignty, and their principal administrative divisions from the Federal Information Processing Standards (FIPS) 10-4."
"fips_5-2","fips_5-2","http://niem.gov/niem/fips_5-2/2.0","2.0","E",0,1,"Codes for the identification of the states, the District of Columbia and the outlying areas of the U.S., and associated areas from the Federal Information Processing Standards (FIPS) 5-2."
"fips_6-4","fips_6-4","http://niem.gov/niem/fips_6-4/2.0","2.0","E",0,1,"Counties and equivalent entities of the U.S., its possessions, and associated areas from the Federal Information Processing Standards (FIPS) 6-4."
