"PropertyNamespacePrefix","PropertyName","QualifiedProperty","IsElement","IsAbstract","Keywords","ExampleContent","UsageInfo","Definition","TypeNamespacePrefix","TypeName","QualifiedType","SubstitutionGroupPropertyNamespacePrefix","SubstitutionGroupPropertyName","SubstitutionGroupQualifiedProperty"
"gml","_ContinuousCoverage","gml:_ContinuousCoverage",1,0,,,,"",,,,,,
"gml","_DiscreteCoverage","gml:_DiscreteCoverage",1,0,,,,"",,,,,,
"gml","_Feature","gml:_Feature",1,0,,,,"",,,,,,
"gml","_Geometry","gml:_Geometry",1,0,,,,"",,,,,,
"geo","AbstractContinuousCoverage","geo:AbstractContinuousCoverage",1,0,,,,"A coverage that can return different values for the same feature attribute at different direct positions within a single spatiotemporal object.","geo","AbstractContinuousCoverageType","geo:AbstractContinuousCoverageType","geo","Geospatial","geo:Geospatial"
"geo","AbstractDiscreteCoverage","geo:AbstractDiscreteCoverage",1,0,,,,"A coverage with finite domain set ((temporal) geometry objects), range set (attribute values mapped to domain), and optional coverage function.","geo","AbstractDiscreteCoverageType","geo:AbstractDiscreteCoverageType","geo","Geospatial","geo:Geospatial"
"geo","AbstractObservation","geo:AbstractObservation",1,1,,,,"Place Holder for any observation of an event.  See: Event.","geo","AbstractObservationType","geo:AbstractObservationType","geo","Geospatial","geo:Geospatial"
"om","AbstractObservation","om:AbstractObservation",1,0,,,,"",,,,,,
"im","AcademicProgramText","im:AcademicProgramText",1,0,,,,"A field detailing the alien students academic program.","nc","TextType","nc:TextType",,,
"im","AcademicTermLengthQuantity","im:AcademicTermLengthQuantity",1,0,,,,"A number indicating a time duration estimate of an alien students academic-term.","nc","QuantityType","nc:QuantityType",,,
"scr","AccompaniedByFamilyIndicator","scr:AccompaniedByFamilyIndicator",1,0,,,,"An indicator indicating whether a subject is accompanied by a family member when entering the United States.","niem-xsd","boolean","niem-xsd:boolean",,,
"j","AccompliceAssociation","j:AccompliceAssociation",1,0,,,,"An association between an accomplice and a subject.","j","SubjectPersonAssociationType","j:SubjectPersonAssociationType",,,
"scr","AcknowledgementDate","scr:AcknowledgementDate",1,0,,,,"The date that the request is ready for processing in the US-VISIT/IDENT system.","nc","DateType","nc:DateType",,,
"nc","AcquaintanceAssociation","nc:AcquaintanceAssociation",1,0,,,,"An association between people who recognize each other but do not know each other very well.","nc","PersonAssociationType","nc:PersonAssociationType",,,
"nc","Activity","nc:Activity",1,0,,,,"A single or set of related actions, events, or process steps.
","nc","ActivityType","nc:ActivityType",,,
"nc","ActivityAdministratorOrganizationAssociation","nc:ActivityAdministratorOrganizationAssociation",1,0,,,,"An association between an activity and an organization which administers it.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"nc","ActivityAdministratorPersonAssociation","nc:ActivityAdministratorPersonAssociation",1,0,,,,"An association between an activity and a person who administers it.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"ansi-nist","ActivityAgencyNotificationIndicator","ansi-nist:ActivityAgencyNotificationIndicator",1,0,,,,"A flag which indicates the Investigative Agency is to be notified of any query response which includes this Criminal Justice Entry. ","niem-xsd","boolean","niem-xsd:boolean",,,
