"TypeNamespacePrefix","TypeName","QualifiedType","ContentStyle","SimpleStyle","IsMetadata","IsAdapter","IsAugmentation","Keywords","ExampleContent","UsageInfo","Definition","SimpleTypeNamespacePrefix","SimpleTypeName","SimpleQualifiedType","ParentTypeNamespacePrefix","ParentTypeName","ParentQualifiedType"
"ansi_d20","AccidentSeverityCodeSimpleType","ansi_d20:AccidentSeverityCodeSimpleType","S","atomic",0,0,0,"","","","A data type for severity levels of an accident.","xs","token","xs:token","","",""
"ansi_d20","AccidentSeverityCodeType","ansi_d20:AccidentSeverityCodeType","CSC",,0,0,0,"","","","A data type for severity levels of an accident.","ansi_d20","AccidentSeverityCodeSimpleType","ansi_d20:AccidentSeverityCodeSimpleType","","",""
"ansi_d20","BrandCodeSimpleType","ansi_d20:BrandCodeSimpleType","S","atomic",0,0,0,"","","","A data type for a brand applied to a vehicle title or odometer.","xs","token","xs:token","","",""
"ansi_d20","BrandCodeType","ansi_d20:BrandCodeType","CSC",,0,0,0,"","","","A data type for a brand applied to a vehicle title or odometer.","ansi_d20","BrandCodeSimpleType","ansi_d20:BrandCodeSimpleType","","",""
"ansi_d20","BrandDamagePercentageCategoryCodeSimpleType","ansi_d20:BrandDamagePercentageCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for the percentage of damage in a brand on a vehicle.","xs","token","xs:token","","",""
"ansi_d20","BrandDamagePercentageCategoryCodeType","ansi_d20:BrandDamagePercentageCategoryCodeType","CSC",,0,0,0,"","","","A data type for the percentage of damage in a brand on a vehicle.","ansi_d20","BrandDamagePercentageCategoryCodeSimpleType","ansi_d20:BrandDamagePercentageCategoryCodeSimpleType","","",""
"ansi_d20","BranderCategoryCodeSimpleType","ansi_d20:BranderCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of branders.","xs","token","xs:token","","",""
"ansi_d20","BranderCategoryCodeType","ansi_d20:BranderCategoryCodeType","CSC",,0,0,0,"","","","A data type for kinds of branders.","ansi_d20","BranderCategoryCodeSimpleType","ansi_d20:BranderCategoryCodeSimpleType","","",""
"ansi_d20","BrandVehicleDispositionCodeSimpleType","ansi_d20:BrandVehicleDispositionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for vehicle dispositions.","xs","token","xs:token","","",""
"ansi_d20","BrandVehicleDispositionCodeType","ansi_d20:BrandVehicleDispositionCodeType","CSC",,0,0,0,"","","","A data type for vehicle dispositions.","ansi_d20","BrandVehicleDispositionCodeSimpleType","ansi_d20:BrandVehicleDispositionCodeSimpleType","","",""
"ansi_d20","CMVCodeSimpleType","ansi_d20:CMVCodeSimpleType","S","atomic",0,0,0,"","","","A data type for whether a person was operating a commercial motor vehicle in an incident.","xs","token","xs:token","","",""
"ansi_d20","CMVCodeType","ansi_d20:CMVCodeType","CSC",,0,0,0,"","","","A data type for whether a person was operating a commercial motor vehicle in an incident.","ansi_d20","CMVCodeSimpleType","ansi_d20:CMVCodeSimpleType","","",""
"ansi_d20","CountryCodeSimpleType","ansi_d20:CountryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for country codes specified by DHS as part of the DHS Western Hemisphere Travel Initiative.","xs","token","xs:token","","",""
"ansi_d20","CountryCodeType","ansi_d20:CountryCodeType","CSC","atomic",0,0,0,"","","","A data type for country codes specified by DHS as part of the DHS Western Hemisphere Travel Initiative.","ansi_d20","CountryCodeSimpleType","ansi_d20:CountryCodeSimpleType","","",""
"ansi_d20","CourtCategoryCodeSimpleType","ansi_d20:CourtCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of courts.","xs","token","xs:token","","",""
"ansi_d20","CourtCategoryCodeType","ansi_d20:CourtCategoryCodeType","CSC",,0,0,0,"","","","A data type for kinds of courts.","ansi_d20","CourtCategoryCodeSimpleType","ansi_d20:CourtCategoryCodeSimpleType","","",""
"ansi_d20","DecalPeriodCodeSimpleType","ansi_d20:DecalPeriodCodeSimpleType","S","atomic",0,0,0,"","","","A data type for the lifespan of a decal.","xs","token","xs:token","","",""
"ansi_d20","DecalPeriodCodeType","ansi_d20:DecalPeriodCodeType","CSC",,0,0,0,"","","","A data type for the lifespan of a decal.","ansi_d20","DecalPeriodCodeSimpleType","ansi_d20:DecalPeriodCodeSimpleType","","",""
"ansi_d20","DriverLicenseClassCodeSimpleType","ansi_d20:DriverLicenseClassCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of vehicles that a licensed driver may be approved to operate.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseClassCodeType","ansi_d20:DriverLicenseClassCodeType","CSC",,0,0,0,"","","","A data type for kinds of vehicles that a licensed driver may be approved to operate.","ansi_d20","DriverLicenseClassCodeSimpleType","ansi_d20:DriverLicenseClassCodeSimpleType","","",""
"ansi_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","ansi_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for a restriction imposed on a commercial driver by a medical examiner.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseMedicalCertificationRestrictionCodeType","ansi_d20:DriverLicenseMedicalCertificationRestrictionCodeType","CSC","atomic",0,0,0,"","","","A data type for a restriction imposed on a commercial driver by a medical examiner.","ansi_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","ansi_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","","",""
"ansi_d20","DriverLicenseMedicalCertificationStatusCodeSimpleType","ansi_d20:DriverLicenseMedicalCertificationStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for an indication of the status of a driver's medical certification.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseMedicalCertificationStatusCodeType","ansi_d20:DriverLicenseMedicalCertificationStatusCodeType","CSC","atomic",0,0,0,"","","","A data type for an indication of the status of a driver's medical certification.","ansi_d20","DriverLicenseMedicalCertificationStatusCodeSimpleType","ansi_d20:DriverLicenseMedicalCertificationStatusCodeSimpleType","","",""
"ansi_d20","DriverLicenseMedicalSelfCertificationCodeSimpleType","ansi_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType","S","atomic",0,0,0,"","","","A data type for a restriction imposed on a commercial driver by a medical examiner.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseMedicalSelfCertificationCodeType","ansi_d20:DriverLicenseMedicalSelfCertificationCodeType","CSC","atomic",0,0,0,"","","","A data type for a restriction imposed on a commercial driver by a medical examiner.","ansi_d20","DriverLicenseMedicalSelfCertificationCodeSimpleType","ansi_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType","","",""
"ansi_d20","DriverLicenseWithdrawalActionCodeSimpleType","ansi_d20:DriverLicenseWithdrawalActionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of driver license withdrawal actions.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseWithdrawalActionCodeType","ansi_d20:DriverLicenseWithdrawalActionCodeType","CSC",,0,0,0,"","","","A data type for kinds of driver license withdrawal actions.","ansi_d20","DriverLicenseWithdrawalActionCodeSimpleType","ansi_d20:DriverLicenseWithdrawalActionCodeSimpleType","","",""
"ansi_d20","DriverLicenseWithdrawalBasisCodeSimpleType","ansi_d20:DriverLicenseWithdrawalBasisCodeSimpleType","S","atomic",0,0,0,"","","","A data type for bases for withdrawal action for a driver.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseWithdrawalBasisCodeType","ansi_d20:DriverLicenseWithdrawalBasisCodeType","CSC",,0,0,0,"","","","A data type for bases for withdrawal action for a driver.","ansi_d20","DriverLicenseWithdrawalBasisCodeSimpleType","ansi_d20:DriverLicenseWithdrawalBasisCodeSimpleType","","",""
"ansi_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","ansi_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for due process statuses of a withdrawal action.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseWithdrawalDueProcessStatusCodeType","ansi_d20:DriverLicenseWithdrawalDueProcessStatusCodeType","CSC",,0,0,0,"","","","A data type for due process statuses of a withdrawal action.","ansi_d20","DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","ansi_d20:DriverLicenseWithdrawalDueProcessStatusCodeSimpleType","","",""
"ansi_d20","DriverLicenseWithdrawalEligibilityCodeSimpleType","ansi_d20:DriverLicenseWithdrawalEligibilityCodeSimpleType","S","atomic",0,0,0,"","","","A data type for when a driver may be eligible to apply for reinstatement of driving privileges that have been withdrawn.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseWithdrawalEligibilityCodeType","ansi_d20:DriverLicenseWithdrawalEligibilityCodeType","CSC",,0,0,0,"","","","A data type for when a driver may be eligible to apply for reinstatement of driving privileges that have been withdrawn.","ansi_d20","DriverLicenseWithdrawalEligibilityCodeSimpleType","ansi_d20:DriverLicenseWithdrawalEligibilityCodeSimpleType","","",""
"ansi_d20","DriverLicenseWithdrawalExtentCodeSimpleType","ansi_d20:DriverLicenseWithdrawalExtentCodeSimpleType","S","atomic",0,0,0,"","","","A data type for extents of withdrawals.","xs","token","xs:token","","",""
"ansi_d20","DriverLicenseWithdrawalExtentCodeType","ansi_d20:DriverLicenseWithdrawalExtentCodeType","CSC",,0,0,0,"","","","A data type for extents of withdrawals.","ansi_d20","DriverLicenseWithdrawalExtentCodeSimpleType","ansi_d20:DriverLicenseWithdrawalExtentCodeSimpleType","","",""
"ansi_d20","DrivingEndorsementCodeSimpleType","ansi_d20:DrivingEndorsementCodeSimpleType","S","atomic",0,0,0,"","","","A data type for endorsements on a driver license or a driver license permit which authorizes the operation of specified kinds of vehicles carrying specified loads.","xs","token","xs:token","","",""
"ansi_d20","DrivingEndorsementCodeType","ansi_d20:DrivingEndorsementCodeType","CSC",,0,0,0,"","","","A data type for endorsements on a driver license or a driver license permit which authorizes the operation of specified kinds of vehicles carrying specified loads.","ansi_d20","DrivingEndorsementCodeSimpleType","ansi_d20:DrivingEndorsementCodeSimpleType","","",""
"ansi_d20","DrivingInsuranceStatusCodeSimpleType","ansi_d20:DrivingInsuranceStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for the ways in which a driver of a vehicle may or may not be insured.","xs","token","xs:token","","",""
"ansi_d20","DrivingInsuranceStatusCodeType","ansi_d20:DrivingInsuranceStatusCodeType","CSC",,0,0,0,"","","","A data type for the ways in which a driver of a vehicle may or may not be insured.","ansi_d20","DrivingInsuranceStatusCodeSimpleType","ansi_d20:DrivingInsuranceStatusCodeSimpleType","","",""
"ansi_d20","DrivingOffenseCodeSimpleType","ansi_d20:DrivingOffenseCodeSimpleType","S","atomic",0,0,0,"","","","A data type for ACD codes for a driving offense.","xs","token","xs:token","","",""
"ansi_d20","DrivingOffenseCodeType","ansi_d20:DrivingOffenseCodeType","CSC",,0,0,0,"","","","A data type for ACD codes for a driving offense.","ansi_d20","DrivingOffenseCodeSimpleType","ansi_d20:DrivingOffenseCodeSimpleType","","",""
"ansi_d20","DrivingRestrictionCodeSimpleType","ansi_d20:DrivingRestrictionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for categories of driving restrictions.","xs","token","xs:token","","",""
"ansi_d20","DrivingRestrictionCodeType","ansi_d20:DrivingRestrictionCodeType","CSC",,0,0,0,"","","","A data type for categories of driving restrictions.","ansi_d20","DrivingRestrictionCodeSimpleType","ansi_d20:DrivingRestrictionCodeSimpleType","","",""
"ansi_d20","DrivingStatusCodeSimpleType","ansi_d20:DrivingStatusCodeSimpleType","S","atomic",0,0,0,"","","","A data type for statuses of a drivers privilege type.","xs","token","xs:token","","",""
